,Country,Start_Year,End_Year,CS_End,Delta_F5,Delta_CS,Pct_Delta_F5,Pct_Delta_CS,Total_Tapio_Elasticity
0,Algeria,1975,2020,3.460795169,1.2822084255175915e-09,3.3060545109999997,1.5434164350450708,2.011263729004408,0.7673864012896382
1,Argentina,1975,2020,2.05881987,3.991992966519682e-10,1.8537444010000002,0.9374079347664337,1.2194977790955783,0.7686835932260966
2,Australia,1975,2020,2.685450235,6.340597074536762e-11,1.6114993429999998,0.15833146419689326,0.9993759606206887,0.15843033096229106
3,Austria,1975,2020,1.819372837,-5.133777798624202e-11,0.823362631,-0.03301674475715065,0.557581906230675,-0.05921416098371639
4,Azerbaijan,1975,2020,0.557971703,2.3398090812568346e-10,0.38905350699999997,0.49957110674605265,1.2187718517530457,0.40989714853316
5,Bangladesh,1975,2020,5.973292122,2.0543032009963444e-09,5.957756584,2.0476486078667087,2.4933197949431465,0.8212539009314687
6,Belarus,1975,2020,0.797453467,-5.093072195206348e-11,0.311813654,-0.09294689312516301,0.5373603446088439,-0.1729693939228453
7,Belgium,1975,2020,1.725732047,-1.0394511547859129e-10,0.7721292,-0.09768408767921274,0.5988471703588515,-0.16312022919082478
8,Brazil,1975,2020,10.78675689,2.52674561341534e-10,7.683296974999999,0.4976703808759378,1.1344637681716836,0.4386833628701865
9,Bulgaria,1975,2020,0.807143122,-6.268213653263081e-10,-0.00823758699999999,-0.5534053676497468,-0.010517102510536247,52.619565806773686
10,Canada,1975,2020,4.461663848,1.8961776096914762e-10,2.457597542,0.2883226226839245,0.8538956832735939,0.3376555571502333
11,Chile,1975,2020,1.424532703,6.758220065404807e-10,1.1828351639999999,1.1494097917491124,1.7481949603734328,0.6574837577060549
12,China,1975,2020,359.1951756,3.72839385495563e-09,354.05192047400004,2.006440145256638,2.841696737842039,0.7060711716832642
13,Colombia,1975,2020,2.400922331,6.663772592768816e-10,1.7375327589999998,0.6226095069038674,1.166159500061214,0.5338973844239878
14,Croatia,1995,2020,0.326303961,1.4720887982441662e-10,0.14752263499999999,0.2524488893147543,0.5326148670520441,0.4739801776695175
15,Cyprus,1975,2020,0.355108263,9.694431870886508e-10,0.2544608,0.5584338616184796,1.382859538601241,0.40382543998889003
16,Czechia,1975,2020,1.690927597,-5.445842829440334e-10,0.26483857600000005,-0.4488676005509495,0.19743925112078023,-2.273446632333315
17,Denmark,1975,2020,0.725523872,-1.554583914706211e-10,0.23680616800000004,-0.21042382356084222,0.4695070838115287,-0.4481802954975464
18,Ecuador,1975,2020,0.885099533,6.602669978900743e-10,0.780903698,0.9693733579069789,1.3873647707593038,0.6987155637348651
19,Egypt,1975,2020,6.696293512,1.477363227104217e-09,6.126627157,1.0496614132094626,1.8150816941463828,0.5782998179060526
20,Estonia,1975,2020,0.136085078,-2.7091187918961596e-10,0.00939643100000001,-0.4572838877514439,0.0909770465612636,-5.026365495867253
21,Finland,1975,2020,0.475393362,-2.4060691237945384e-10,0.125724652,-0.3002842652698042,0.33694271441670215,-0.8912027250378178
22,France,1975,2020,6.213354856,-2.272641304984311e-10,1.633162757,-0.36882423832387257,0.33360611323632816,-1.1055679847886832
23,Germany,1975,2020,10.71350308,-2.4117715373467405e-10,3.2629433180000005,-0.22973623331236845,0.3918787239360764,-0.5862431902525109
24,Greece,1975,2020,1.146365782,-7.673954128333142e-10,-0.10547943700000006,-0.4261505936633465,-0.06165404228765832,6.911965182673055
25,Hong Kong,1975,2020,1.593617333,1.7522640140340192e-08,1.5046562940000001,1.7785852968357965,2.380584025941013,0.7471214111557123
26,Hungary,1975,2020,0.756628579,-3.085110885443661e-10,0.06240041500000004,-0.4390311660240507,0.0829386997349868,-5.293441631311832
27,Iceland,1975,2010,0.048400341,-6.807803980084447e-11,0.015322096,-0.052624075648791804,0.457254980985816,-0.11508693800412464
28,India,1975,2020,57.63515776,1.0554850894828393e-09,54.192549868,1.2987600003149937,2.378429949310379,0.5460577052906547
29,Indonesia,1975,2020,13.85409336,1.195650992414052e-09,13.648156096000001,1.830088322961138,2.1984805977003243,0.8324332381534157
30,Iran,1975,2020,10.5146178,1.951437007169253e-09,9.744988879,1.3254779706532036,1.8919543963719112,0.7005866384491054
31,Iraq,1975,2020,5.471348788,2.7727020899278423e-09,5.103703392,1.7376329546935978,2.5354474134800182,0.685335828877877
32,Ireland,1975,2020,0.630741141,9.46396911905059e-11,0.332804617,0.11233469232919244,0.6213121866819599,0.18080233212405156
33,Israel,1975,2020,1.6985019,1.7239184108537725e-09,1.27898903,0.6476459337434364,1.2440610104377894,0.5205901706665716
34,Italy,1975,2020,6.218583212,-7.872120605243718e-10,-0.757261636,-0.5714204147490196,-0.09731240843641989,5.872020063323818
35,Japan,1975,2020,23.2873617,5.492630775588205e-10,13.225135620000001,0.28797008962591225,0.6100400080905892,0.47205115370588857
36,Kazakhstan,1975,2020,2.13775208,-4.0421043673269964e-10,0.7864065149999999,-0.48378315986560766,0.5656997411296416,-0.8551942394379475
37,Kuwait,1980,2020,1.580416542,6.010785152148899e-09,1.469629415,1.997841854655606,2.4053886690793322,0.8305692465992551
38,Latvia,1975,2020,0.098273902,-1.0706044439398872e-10,0.013814804,-0.2669301639028212,0.142314396258712,-1.8756371169756527
39,Lithuania,1975,2020,0.310312502,-4.116919442382094e-10,-0.006409115000000021,-0.6157075021266347,-0.02366789273506429,26.01446225140509
40,Luxembourg,1975,2020,0.204193513,7.654105551202479e-10,0.136306994,0.3399279833004715,1.1652578328087506,0.29171911462813793
41,Malaysia,1975,2020,5.213048534,1.9079568599917763e-09,4.91731223,1.1026322815672207,1.719069831171252,0.6414121529990235
42,Mexico,1975,2020,10.86230273,4.1231716792201413e-10,8.479230563,0.48702787535211,1.4409715905311777,0.3379857580485535
43,Morocco,1975,2020,1.828798825,1.3083217169295156e-09,1.538086934,0.7806348977562643,1.3444100960698855,0.5806523619826232
44,Netherlands,1975,2020,0.533577849,-3.0239035070778033e-10,-0.06276273899999996,-0.8829562006035616,-0.12272965142511591,7.194318490689282
45,New Zealand,1975,2020,0.769520232,2.9792548007016663e-10,0.512784117,0.6808490562769707,1.4438896393217757,0.4715381548113188
46,Norway,1975,2020,0.453816804,-1.8205031280859969e-10,0.185804154,-0.18305201194578805,0.5998703483808893,-0.30515262579633073
47,Oman,1985,2020,1.400388054,-2.593993858892686e-10,0.559052894,-0.11584651899264668,0.6866735096409642,-0.1687068415573778
48,Pakistan,1975,2020,6.474846506,6.289291347679146e-10,5.835678044,1.0743913109867587,2.2900372935359647,0.46915887091420655
49,Peru,1975,2020,1.847320045,7.311661851610075e-10,1.47053615,1.127965149321882,1.6518082331941422,0.6828668889370457
50,Philippines,1975,2020,8.766294268,2.639266424400091e-09,7.993584884,1.6919109470370837,2.6006296651272858,0.6505774235080389
51,Poland,1975,2020,4.607323703,-4.1015257848054986e-10,1.2715811349999995,-0.4439085852680142,0.39146178177854907,-1.1339768169735007
52,Portugal,1975,2020,1.381807824,-1.462632005277782e-10,0.609207999,-0.09907829088977213,0.40167087671448376,-0.24666535871406753
53,Qatar,1975,2020,0.993868937,4.067460039575088e-09,0.972582572,1.1660205907157246,1.8056811303512446,0.6457511080535621
54,Romania,1975,2020,2.395647933,-6.733205831429888e-10,0.354012306,-0.6025063439569183,0.18799787887370065,-3.2048571375727577
55,Russia,1975,2020,15.06154973,-6.873533142902626e-10,2.033733889999999,-0.5374596059063858,0.16148894154485774,-3.3281511462324644
56,Saudi Arabia,1975,2020,13.08743727,4.104313913737262e-09,12.876115819,1.9282957009560395,2.6597536636053944,0.7249903355118096
57,Singapore,1975,2000,1.708489956,1.2539733351151255e-08,1.487507373,1.4672852745263303,1.655789504396256,0.8861544723109842
58,Slovakia,1995,2020,0.772850946,6.659206763195966e-10,0.559695538,0.9326676480826406,1.2076796940243044,0.772280640883137
59,Slovenia,1995,2020,0.152692454,-1.4135347948641072e-11,0.03145410100000001,-0.022964832803311266,0.20769512432826137,-0.11056991769828661
60,South Africa,1975,2020,2.411433785,-1.0988518286799292e-10,1.3073411469999998,-0.28514597036263495,0.779360833058923,-0.3658715684280181
61,Spain,1975,2020,5.385038329,-5.921858149174994e-10,1.0425033940000006,-0.37519807539615513,0.18626681949882656,-2.014304407009638
62,Sri Lanka,1975,2020,1.830269885,1.493217268992515e-09,1.7500803360000001,1.5535988417659474,2.457817364030108,0.6321050801018411
63,Sweden,1975,2020,1.072125898,-1.7714032970109962e-11,0.4316115599999999,-0.02030750018970504,0.6139511592760386,-0.03307673563749162
64,Switzerland,1975,2020,1.334839931,-3.048748532234578e-10,0.4292397090000001,-0.18090184275049112,0.39093452371076065,-0.46274204957230725
65,Thailand,1975,2020,8.839425531,7.590387818583858e-10,8.011350322,0.9334627535796574,2.0197525257376308,0.46216689504509906
66,Turkmenistan,1975,2020,0.503660145,-7.124627178289947e-11,0.271397626,-0.057552539041168874,0.35721932974004705,-0.16111261135574767
67,USA,1975,2020,34.23750849,1.6540228550315247e-10,21.568688790000003,0.3935123048655927,0.9918439486562669,0.39674820358456225
68,Ukraine,1975,2020,3.474616156,-8.578392283740488e-10,-0.7694535109999996,-0.8196167089679981,-0.21449782956897737,3.8210955822489057
69,United Arab Emirates,1980,2020,3.086787073,4.3901319123583735e-09,3.050515632,1.234086684651225,1.819385655877299,0.6782985677965865
70,United Kingdom,1975,2020,4.890290401,-6.52852842606343e-11,1.5153816459999998,-0.08250155571903234,0.3840741688613998,-0.2148063119256649
71,Uzbekistan,1975,2020,2.682687506,-1.7424745521033086e-10,1.4369158130000002,-0.3220581372287065,1.0195136460290162,-0.3158938955678681
72,Venezuela,1975,2020,0.653176229,-5.296497313998349e-10,-0.06947007699999996,-0.5620217656336123,-0.06470929875948063,8.685332346477791
73,Vietnam,1975,2020,10.88736946,1.8442047119500603e-09,10.728845158,1.7880094565775013,2.5653527301261723,0.6969838633027129
