region,Year,Countries,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,total_CE/energy_consumption,energy_consumption/GDP,GDP/Population,built_surface/Population,cement_CS/built_surface,CFP
Africa,1975,AlgeriaEgyptMoroccoSouth Africa,225.8,2.119211542,2.84,0.97603565,0.0790818403,13.67756,5084164576.0,278.4611948632049,117.82903597097675,0.3472456874479783,21942642905.352757,1.8202814666187425e-09,340.1086258554235
Africa,1980,AlgeriaEgyptMoroccoSouth Africa,304.5,2.674162579,3.95,1.11629927,0.17515611781,17.36905,5721739744.0,275.7263056502454,86.3694501766588,0.6893891838217161,21215985746.1448,2.323474413538249e-09,370.31986178939474
Africa,1985,AlgeriaEgyptMoroccoSouth Africa,445.4,3.647428738,5.65,1.2825678900000002,0.176442030224,24.061802999999998,6562161472.0,285.53534937234906,113.48843787605365,0.5979174782539287,20871630411.944824,2.812186081734207e-09,413.4194859073158
Africa,1990,AlgeriaEgyptMoroccoSouth Africa,498.2,4.572604568,6.55,1.47181088,0.261255376617,29.97879,7545165056.0,277.86866990022065,90.39194760359325,0.7571898191727601,20511102494.854004,3.1968604461601273e-09,391.5032382567041
Africa,1995,AlgeriaEgyptMoroccoSouth Africa,537.1,5.994101002000001,7.1,1.63230062,0.31268982219999997,37.771,8327981184.0,277.546048696207,86.20807336375732,0.7775770052228569,20448925807.835796,3.851021867257479e-09,356.6767896940319
Africa,2000,AlgeriaEgyptMoroccoSouth Africa,587.8,7.380611773,7.819999999999999,1.7751367299999998,0.34939939793200003,48.543000000000006,9287151424.0,279.73901444713124,78.14594254582212,0.7927410502807246,21145144587.831482,4.2981726520411255e-09,358.9101111771925
Africa,2005,AlgeriaEgyptMoroccoSouth Africa,686.7,8.575558626,9.1,1.91481049,0.554367323626,62.0,10024061888.0,281.2762907590494,65.08083597509798,1.253691525653169,21482242151.508896,4.856020106157064e-09,328.98004006657834
Africa,2010,AlgeriaEgyptMoroccoSouth Africa,802.9,13.519796818,10.77,2.0735854299999996,0.914998,95.7,10934906176.0,277.4779529437425,43.158246531734825,1.8634497212778594,21847894507.87879,6.985812565179485e-09,307.93384146455526
Africa,2015,AlgeriaEgyptMoroccoSouth Africa,843.9000000000001,15.526041036,11.620000000000001,2.27823915,0.9739850000000001,106.032,12040607360.0,276.3434022257552,44.42198070255271,1.750057649912923,22004524412.964577,7.073504033492975e-09,286.78880351779
Africa,2020,AlgeriaEgyptMoroccoSouth Africa,844.6,14.397321290999999,11.74,2.46407499,1.008336,91.7,13531450176.0,274.9970485011344,45.33558634246897,1.6426678553731267,22808054074.727932,5.778289653302073e-09,287.82013508998836
Americas,1975,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,843.8000000000001,9.081740698,16.0,2.7300177499999996,0.290871878436,45.384728854,21042319456.0,460.5894907021231,4.67e+22,1.1399993675791225,61539537673.060455,3.3733142567518683e-09,978.2041153852963
Americas,1980,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1017.0,13.203190911,20.470000000000002,3.05808313,0.560672953758,67.19889952,22939396352.0,445.85342975186154,6.23e+22,2.02500129589004,60661464944.48067,4.520464092201026e-09,622.4144219206187
Americas,1985,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1011.5,14.434788012,22.82,3.3843799100000003,0.734649224949,73.18489612799999,25008166848.0,402.5033708858932,4.94e+22,2.493928043086324,60168211501.361786,4.486698761046964e-09,565.9010545773996
Americas,1990,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1142.3000000000002,15.187293471,25.22,3.7125886599999998,1.5062745750470001,78.187028,27212834624.0,401.2209977114962,133.80496557525686,3.821213150687577,59585988250.31926,4.706235772815961e-09,580.2815493707589
Americas,1995,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1292.1,16.052932082,29.33,4.04130956,2.257169480311,83.417,30179451392.0,395.2780872542883,98.42965827883368,4.895339010357439,60067798321.90832,4.957093113300282e-09,630.632479277303
Americas,2000,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1510.8,20.724998071,33.37,4.35351546,2.673985029533,109.38799999999999,33461863040.0,393.23103791694064,104.47553533176348,5.422640086690955,61246436177.42512,5.2103157802651735e-09,550.6670799245558
Americas,2005,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1671.5,21.901352715999998,36.57,4.63866499,3.565287455061,117.51,35748810176.0,391.59820962824966,81.53836695898926,7.158214950603844,61500505711.47864,5.284566954444022e-09,582.3206321614864
Americas,2010,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1813.2,28.844054712000002,40.01,4.89719675,6.074456328999999,151.274807,38301226176.0,403.0146942653438,53.04726830143321,10.77700966980398,62200022361.670265,6.7499162522975205e-09,504.6020539142315
Americas,2015,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1993.3999999999999,32.591125322,43.62,5.16072183,5.989713558,162.126,40939880960.0,405.0889646295784,53.3160901453159,10.824283115438162,62623609971.9798,7.605050275939735e-09,523.4597139143954
Americas,2020,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1735.8,34.72741795,41.59,5.43724335,5.460026472,162.025,43416454720.0,367.42752919048235,56.25385427572358,9.782653212847913,61711471854.70664,7.360755492504976e-09,420.6733686428877
Asia,1975,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanMalaysiaPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUzbekistan,2586.4000000004003,25.914095948,34.9100000004,20.99918992,0.9957219374037,149.1979372754,54195548584.0,1155.0672973347146,4000000000514.2217,3.772046274053432,153587853990.0312,1.656719807195466e-08,1970.708787103576
Asia,1980,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,3155.5000000004,44.126557264,44.3100000004,23.07706015,2.0841856828610004,258.3522584101,64113204332.0,1245.046238187595,4000000000378.237,14.54420279736978,174694164331.4911,2.5032638396208555e-08,2102.5476660527006
Asia,1985,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,4211.3,58.166436315,60.169999999999995,25.37781645,2.535331682412,325.7193604523,77214043408.0,1542.423647293053,5.92e+22,11.710059712962115,184212766036.12485,3.432561068981821e-08,2141.7321026877935
Asia,1990,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,5359.9,78.872240253,76.8,27.86783257,4.852112937195,438.2666674,92608623360.0,1536.3175417022385,955.3492281747984,16.14634417647168,180306489323.5416,3.747506609494107e-08,1992.81583659225
Asia,1995,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,6627.099999999999,123.693399383,95.39,30.23862337,7.953716405563,732.5310000000001,106178206384.0,1534.3241147841136,1122.0731326988173,21.15844421085238,179138558766.41748,5.534327532140548e-08,2150.7169369719336
Asia,2000,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,7367.5,153.884577193,108.13,32.53962248,8.157343434088,900.037,122459414096.0,1522.0587134065552,831.8142846138098,23.32077062133244,180388782646.87482,5.4366623654964595e-08,1873.7923967725533
Asia,2005,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,10764.8,232.16769655099998,150.8,34.60250199,10.05846593018,1487.483,136401440280.0,1456.0027758746564,585.2708565955471,28.53230482209188,172809910128.38083,6.048395681795208e-08,1305.070739623615
Asia,2010,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,13627.300000000001,360.587349961,192.14,36.57225316,17.490640728636,2413.438663,153710617688.0,1450.0330728826102,288.50533564104524,37.483291826218505,159682274255.48227,6.299073763504234e-08,1312.835335076842
Asia,2015,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,15689.1,468.15811295099996,226.55,38.54545875,22.614062232087,3062.4642999999996,173200849496.0,1460.7631968523112,263.05967167976814,37.47642427002831,156455771193.01575,7.089937409732889e-08,1238.9630040642692
Asia,2020,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,16670.9,526.21851086,252.66,40.25779943,28.131300587471998,3109.0483,193506243656.0,1433.3841244599187,266.5838568345811,37.37932946883539,161913601684.60995,7.510007181326906e-08,1139.1450066786938
Europe,1975,AustriaBelarusBelgiumBulgariaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSpainSwedenSwitzerlandUkraine,3423.2000000005,43.945259584,49.7500000005,4.41258955,1.624126350333,248.9478832963,33998581527.0,1364.3877709226915,9.5500000005e+22,9.965185198086292,212495644067.36182,3.290726172722114e-08,1943.3864209593762
Europe,1980,AustriaBelarusBelgiumBulgariaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSpainSwedenSwitzerlandUkraine,3771.9000000005,49.904041973,57.100000000499996,4.51384231,3.188109091494,281.7847695747,36502172752.0,1325.437537928047,1.0250000000500001e+23,19.202502147124385,222194326910.08444,3.42754704467468e-08,2039.3613069243377
Europe,1985,AustriaBelarusBelgiumBulgariaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSpainSwedenSwitzerlandUkraine,4409.8,47.6497524,70.82,4.58258673,2.625757183335,252.7180061267,39053969253.0,1579.5857843364572,2.3060000000000003e+23,16.234638065098533,233310584198.98804,3.143585980111013e-08,2978.051572649926
Europe,1990,AustriaBelarusBelgiumBulgariaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSpainSwedenSwitzerlandUkraine,4397.5,47.900744374,74.32,4.65432538,6.582145487256,251.16173421780002,41647284473.0,1522.9637482522512,3.1799999999999998e+22,37.964814015019236,244901324568.8234,3.245631074820037e-08,2718.0108701512427
Europe,1995,AustriaBelarusBelgiumBulgariaCroatiaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSlovakiaSloveniaSpainSwedenSwitzerlandUkraine,3849.9,45.014758443,69.39,4.82887265,8.404301238426,214.596,46500512319.0,1627.8111670120688,683.3900050940739,50.021762545228874,292298822128.0192,2.812121685393216e-08,3179.54938480831
Europe,2000,AustriaBelarusBelgiumBulgariaCroatiaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLithuaniaLuxembourgNorwayPolandPortugalRomaniaSlovakiaSloveniaSpainSwedenSwitzerlandUkraine,3747.0,49.219631652000004,71.00999999999999,4.808236,7.341708967512,220.94,50213344225.0,1502.8051566183162,670.0943361467389,46.94852783826584,303077088630.83136,2.6934671390136355e-08,2772.9802144595606
Europe,2005,AustriaBelarusBelgiumBulgariaCroatiaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSlovakiaSloveniaSpainSwedenSwitzerlandUkraine,3881.2999999999997,52.967550938,73.87,4.86965855,12.064442964794,255.091,53934687808.0,1543.8062926244934,333.3173393349614,79.99496760893032,332108839427.12726,2.8300877681114384e-08,2560.8944703571997
Europe,2010,AustriaBelarusBelgiumBulgariaCroatiaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIcelandIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSlovakiaSloveniaSpainSwedenSwitzerlandUkraine,3575.8,51.783712008,70.95,4.91779745,14.916006798727,219.032237,57550128406.0,1494.6736517692157,226.81792014957108,97.6306419675042,348977416443.0325,2.7055118174673478e-08,2459.8881233440034
Europe,2015,AustriaBelarusBelgiumBulgariaCroatiaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIrelandItalyLatviaLithuaniaLuxembourgNorwayPolandPortugalRomaniaSlovakiaSloveniaSpainSwedenSwitzerlandUkraine,3146.8,50.128856091,65.2,4.9409722700000005,13.987098382085,174.861,61002929870.0,1417.2084924776343,206.66035294033531,89.21648346220404,356992734037.40656,2.4159819193171394e-08,1996.7203550460295
Europe,2020,AustriaBelarusBelgiumBulgariaCroatiaCzechiaDenmarkEstoniaFinlandFranceGermanyGreeceHungaryIrelandItalyLatviaLithuaniaLuxembourgNorth MacedoniaNorwayPolandPortugalRomaniaSlovakiaSloveniaSpainSwedenSwitzerlandUkraine,2679.5,55.93401707,61.02,4.97959418,15.771136018276,191.066,63857180002.0,1347.6940666308496,164.60565780251125,101.54556464430473,380831076410.0159,2.6853196588710853e-08,1514.4931502472239
Oceania,1975,AustraliaNew Zealand,211.3,1.330687007,3.07,0.169761,0.110165001173,6.0895980000000005,3117306304.0,115.69881725803765,62.58773623099321,1.1175513919278657,36981235642.74281,8.681580071971528e-10,254.24997980322127
Oceania,1980,AustraliaNew Zealand,243.0,1.318681979,3.52,0.17804899999999999,0.17323054738500002,6.202066,3413743104.0,112.74122807017545,40.91856255028438,1.7675853036481242,39090604026.92862,7.38568340743962e-10,290.3287329843232
Oceania,1985,AustraliaNew Zealand,253.5,1.424839833,3.72,0.19035412,0.205316795396,7.0746,3800918080.0,110.63517179023508,40.184273193695034,1.904175034105858,40786519814.69223,7.980727789732543e-10,276.0394449594311
Oceania,1990,AustraliaNew Zealand,300.09999999999997,1.404661182,4.390000000000001,0.20394927999999998,0.356916129385,7.82081,4286497920.0,111.50978976087305,26.672095723256042,3.191199109581997,43983642528.607956,6.121676136308326e-10,349.22882627978447
Oceania,1995,AustraliaNew Zealand,335.7,1.403245412,4.93,0.21678282,0.432084703507,6.7,4573745024.0,110.3299825174825,23.34580310715676,3.7848540866777425,42393105265.369736,5.840012352952403e-10,390.6656830538523
Oceania,2000,AustraliaNew Zealand,386.70000000000005,1.6218857030000002,5.53,0.22886502,0.468791281957,8.45,4944218624.0,113.62548064598822,27.066002499234813,3.551152840264046,42321195314.33588,6.864509802013253e-10,375.75860846945636
Oceania,2005,AustraliaNew Zealand,420.2,2.1559883710000003,5.9,0.24310744,0.810413,10.1,5195767296.0,120.86182062608027,14.449909674465031,6.223080708402463,41607367655.94553,9.266235447005832e-10,307.8878197838933
Oceania,2010,AustraliaNew Zealand,436.0,2.486516285,6.279999999999999,0.2638245,1.295408,9.4,5518513216.0,114.03314917127072,10.527636027951177,8.582389468579924,40983204641.399414,9.035202135703641e-10,278.695856137125
Oceania,2015,AustraliaNew Zealand,443.0,3.0749878290000003,6.68,0.28425395000000003,1.529874,10.7,5921132672.0,109.5423467347211,9.37785192379445,9.53982157902108,40812413046.40712,1.033376119667377e-09,232.03351354919465
Oceania,2020,AustraliaNew Zealand,410.1,3.454970467,6.57,0.30739448,1.543078,12.58,6560146304.0,104.51289048181485,8.335298222332913,9.365397177318242,41875596833.97322,1.2294894580126871e-09,183.39995656861004
