region,Year,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,cement_CS/built_surface
Africa,1975,225.8,2.119211542,2.84,0.97603565,0.0790818403,13.67756,5084164576.0,4.1682591315077053e-10
Africa,1980,304.5,2.674162579,3.95,1.11629927,0.17515611781,17.36905,5721739744.0,4.673687896769881e-10
Africa,1985,445.4,3.647428738,5.65,1.2825678900000002,0.176442030224,24.061802999999998,6562161472.0,5.558273373130431e-10
Africa,1990,498.2,4.572604568,6.55,1.47181088,0.261255376617,29.97879,7545165056.0,6.060310853456829e-10
Africa,1995,537.1,5.994101002000001,7.1,1.63230062,0.31268982219999997,37.771,8327981184.0,7.197543881962739e-10
Africa,2000,587.8,7.380611773,7.819999999999999,1.7751367299999998,0.34939939793200003,48.543000000000006,9287151424.0,7.947121174235309e-10
Africa,2005,686.7,8.575558626,9.1,1.91481049,0.554367323626,62.0,10024061888.0,8.55497374399291e-10
Africa,2010,802.9,13.519796818,10.77,2.0735854299999996,0.914998,95.7,10934906176.0,1.236388918239951e-09
Africa,2015,843.9000000000001,15.526041036,11.620000000000001,2.27823915,0.9739850000000001,106.032,12040607360.0,1.2894732443131508e-09
Africa,2020,844.6,14.397321290999999,11.74,2.46407499,1.008336,91.7,13531450176.0,1.0639895283755874e-09
Americas,1975,843.8000000000001,9.081740698,16.0,2.7300177499999996,0.290871878436,45.384728854,21042319456.0,4.3159408909222866e-10
Americas,1980,1017.0,13.203190911,20.470000000000002,3.05808313,0.560672953758,67.19889952,22939396352.0,5.755683675542256e-10
Americas,1985,1011.5,14.434788012,22.82,3.3843799100000003,0.734649224949,73.18489612799999,25008166848.0,5.772029633253349e-10
Americas,1990,1142.3000000000002,15.187293471,25.22,3.7125886599999998,1.5062745750470001,78.187028,27212834624.0,5.580930351741368e-10
Americas,1995,1292.1,16.052932082,29.33,4.04130956,2.257169480311,83.417,30179451392.0,5.319159673742555e-10
Americas,2000,1510.8,20.724998071,33.37,4.35351546,2.673985029533,109.38799999999999,33461863040.0,6.193617506062209e-10
Americas,2005,1671.5,21.901352715999998,36.57,4.63866499,3.565287455061,117.51,35748810176.0,6.126456407408909e-10
Americas,2010,1813.2,28.844054712000002,40.01,4.89719675,6.074456328999999,151.274807,38301226176.0,7.530843680945658e-10
Americas,2015,1993.3999999999999,32.591125322,43.62,5.16072183,5.989713558,162.126,40939880960.0,7.960727915609456e-10
Americas,2020,1735.8,34.72741795,41.59,5.43724335,5.460026472,162.025,43416454720.0,7.998676578721811e-10
Asia,1975,2670.3,28.235055859,36.14,21.42019168,1.0706050336057,159.9359102754,56486971368.0,4.998507651446723e-10
Asia,1980,3234.1,47.219166179,45.44,23.528125460000002,2.15899112735,272.54680841009997,66188544076.0,7.134039105737286e-10
Asia,1985,4311.7,61.621163665,61.559999999999995,25.86957318,2.602564441033,341.68256045230004,79170073104.0,7.783391027573352e-10
Asia,1990,5496.099999999999,83.548171659,78.82,28.411073990000002,5.002768937195,462.3928674,94663010304.0,8.825851976468327e-10
Asia,1995,6788.2,129.520933867,97.95,30.831678269999998,8.123036405563,765.6840000000001,108529524400.0,1.1934165802628359e-09
Asia,2000,7573.2,161.114130827,111.24,33.18075795,8.431638434087999,935.862,125131265104.0,1.2875609520377954e-09
Asia,2005,11116.9,242.053688108,156.32,35.33220676,10.692588930180001,1532.483,139452682072.0,1.735740643432205e-09
Asia,2010,14089.0,372.259470085,199.46,37.35444198,18.507415728636,2476.175939,157043664032.0,2.3704201782323834e-09
Asia,2015,16232.8,485.8608198069999,235.49,39.38299356,23.786375232087,3133.8833,176813391384.0,2.7478734274816128e-09
Asia,2020,17259.0,546.014495497,262.43,41.1485043,29.201126587472,3181.3473,197351480760.0,2.7667109129067573e-09
Europe,1975,3472.2,43.945259584,50.410000000000004,4.54077736,1.624126350333,248.9478832963,34965794575.0,1.2568071201625196e-09
Europe,1980,3828.7,49.904041973,57.89,4.64772166,3.188109091494,281.7847695747,37545745696.0,1.3291530384577395e-09
Europe,1985,4468.3,47.6497524,71.67999999999999,4.72065003,2.625757183335,252.7180061267,40175149789.0,1.1860503980758412e-09
Europe,1990,4495.7,47.900744374,75.93,4.79551428,6.645060650744,251.16173421780002,42847259289.0,1.1179418513309054e-09
Europe,1995,3858.3,45.015448731,69.49,4.84871229,8.409008279741,214.596,46636141951.0,9.652481283356835e-10
Europe,2000,3762.6,49.258690417000004,71.25999999999999,4.852175,7.353440679385,220.94,50613085857.0,9.732402121493512e-10
Europe,2005,3890.3999999999996,52.967599838,73.99,4.889711849999999,12.070701567667001,255.091,54091250528.0,9.792267570257346e-10
Europe,2010,3584.4,51.784045358,71.07,4.93726043,14.925413969048,219.032237,57717643046.0,8.971961193344119e-10
Europe,2015,3156.9,50.177333286999996,65.53,4.96340472,14.014680112567,174.861,61214678158.0,8.196944719285833e-10
Europe,2020,2681.3,55.993629199,61.230000000000004,4.983258810000001,15.79276597147,191.066,63890533630.0,8.763994604156509e-10
Oceania,1975,211.3,1.330687007,3.07,0.169761,0.110165001173,6.0895980000000005,3117306304.0,4.268707907505005e-10
Oceania,1980,243.0,1.318681979,3.52,0.17804899999999999,0.17323054738500002,6.202066,3413743104.0,3.862862373723597e-10
Oceania,1985,253.5,1.424839833,3.72,0.19035412,0.205316795396,7.0746,3800918080.0,3.7486728285393617e-10
Oceania,1990,300.09999999999997,1.404661182,4.390000000000001,0.20394927999999998,0.356916129385,7.82081,4286497920.0,3.2769435754211213e-10
Oceania,1995,335.7,1.403245412,4.93,0.21678282,0.432084703507,6.7,4573745024.0,3.0680446868740884e-10
Oceania,2000,386.70000000000005,1.6218857030000002,5.53,0.22886502,0.468791281957,8.45,4944218624.0,3.28036809522766e-10
Oceania,2005,420.2,2.1559883710000003,5.9,0.24310744,0.810413,10.1,5195767296.0,4.1495091064986764e-10
Oceania,2010,436.0,2.486516285,6.279999999999999,0.2638245,1.295408,9.4,5518513216.0,4.5057720941770413e-10
Oceania,2015,443.0,3.0749878290000003,6.68,0.28425395000000003,1.529874,10.7,5921132672.0,5.193242575936661e-10
Oceania,2020,410.1,3.454970467,6.57,0.30739448,1.543078,12.58,6560146304.0,5.266605814710806e-10
Unknown,1975,5364.6,31.318684412,83.6,5.13068114,2.106147873513,163.617916291,51513791092.0,6.079669880259257e-10
Unknown,1980,5735.2,33.975383691,89.71,5.43398393,3.7708887872080004,175.137125405,55387337745.0,6.134142761549695e-10
Unknown,1985,7764.9,35.742749411,122.98,5.77303677,5.228355154488001,181.98618549500003,59477816227.0,6.009425308183146e-10
Unknown,1990,8303.6,40.180914143,135.32999999999998,6.12248323,8.071546693001,190.07932062,63754367076.0,6.302456754860625e-10
Unknown,1995,8003.9,41.186834398,134.95,6.4479302800000005,10.026373877974,161.32,70479442925.0,5.843808164293887e-10
Unknown,2000,8470.8,43.213786187000004,143.49,6.72550561,12.851629518403,179.01000000000002,77855018293.0,5.550546019316187e-10
Unknown,2005,8802.4,54.474354391,149.22,6.957499609999999,17.461342255738,235.123,83450168446.0,6.52777045336343e-10
Unknown,2010,8530.4,62.882319044,148.77,7.23058259,20.933982,249.875998,89460723906.0,7.029042053144237e-10
Unknown,2015,8208.6,72.278502605,149.51,7.51947807,23.999434,292.824,95230889613.0,7.589817011972262e-10
Unknown,2020,7425.3,76.778089959,146.61999999999998,7.73724146,27.010034,338.244,99062671499.0,7.750456231111741e-10
