Countries,Start_Year,End_Year,CE_End,GDP_End,Delta_CE,Delta_GDP,Pct_Delta_CE,Pct_Delta_GDP,GDP_Decoupling_Elasticity,Decoupling_State,Region
Algeria,1975,2020,132.7,0.164873,117.19999999999999,0.149315097246,1.5880758807588076,1.6378666484472135,0.9696002310471306,Expansive Coupling,Africa
Argentina,1975,2020,162.3,0.385741,69.20000000000002,,0.5299839166730491,,,N/A,Americas
Australia,1975,2020,377.0,1.33038,185.1,1.233076982111,0.5864647360750269,2.038004305928841,0.28776422815639724,Weak Decoupling,Oceania
Austria,1975,2020,56.2,0.435049,2.6000000000000014,0.394989793237,0.04268593006074538,1.7013081081365715,0.025090064437239955,Weak Decoupling,Europe
Azerbaijan,1975,2020,35.2,0.042693,,,,,,N/A,Asia
Bangladesh,1975,2020,102.4,0.373979,97.7,0.354530651927,2.801835388586177,3.7850892811895194,0.7402296697492059,Weak Decoupling,Asia
Belarus,1975,2020,56.0,0.061371755326,,,,,,N/A,Europe
Belgium,1975,2020,105.3,0.526022,-20.700000000000003,0.460343810903,-0.16452074391988555,1.6071103356789898,-0.10237053441036892,Strong Decoupling,Europe
Brazil,1975,2020,408.4,1.47611,263.29999999999995,,0.8913941363667139,,,N/A,Americas
Bulgaria,1975,2020,36.1,0.070368758395,-38.99999999999999,,-0.6482712765957446,,,N/A,Europe
Canada,1975,2020,500.1,1.65568,102.0,1.48126,0.2100234732117119,1.6900036771949907,0.12427397410182062,Weak Decoupling,Americas
Chile,1975,2020,85.1,0.254042,67.1,0.24642042993799998,1.3401238266426998,2.291994492549642,0.5846976644136392,Weak Decoupling,Americas
China,1975,2020,10130.9,14.6877,8999.6,14.52427,1.9327750944417363,3.915616316633862,0.4936068649604784,Weak Decoupling,Asia
Colombia,1975,2020,89.6,0.270348,55.599999999999994,0.257249366098,0.9622706818968498,1.9524843532210006,0.4928442475400114,Weak Decoupling,Americas
Croatia,1975,2020,14.9,0.058221300898,,,,,,N/A,Europe
Cyprus,1975,2020,7.0,0.025227189745,4.9,0.0247372749843,0.8072487644151567,2.0622205384004975,0.3914463799498749,Weak Decoupling,Asia
Czechia,1975,2020,88.4,0.245975,-99.69999999999999,,-0.7031525495451018,,,N/A,Europe
Denmark,1975,2020,26.0,0.354763,-30.4,0.314288593784,-0.576303317535545,1.6493140942532183,-0.34941999194912926,Strong Decoupling,Europe
Ecuador,1975,2020,29.1,0.095865472,24.3,0.08813379752799999,1.1699566682715457,2.1952275852940017,0.5329546130474924,Weak Decoupling,Americas
Egypt,1975,2020,203.3,0.383818,175.8,0.372185821131,1.4859268024680925,2.869364422609281,0.5178592132667666,Weak Decoupling,Africa
Estonia,1975,2020,15.8,0.031330419851,,,,,,N/A,Europe
Finland,1975,2020,36.8,0.271886,-10.200000000000003,0.242413376758,-0.1900857249347746,1.6146137561154739,-0.11772829521290172,Strong Decoupling,Europe
France,1975,2020,251.5,2.64742,-205.60000000000002,2.286588,-0.5500267522739434,1.4490493550093224,-0.37957765232254964,Strong Decoupling,Europe
Germany,1975,2020,605.5,3.88773,-419.79999999999995,3.397093,-0.4732327046861085,1.5461886991310674,-0.3060640043172334,Strong Decoupling,Europe
Greece,1975,2020,56.3,0.18848,0.09999999999999432,0.15995412327300002,0.0012898232942086204,1.1204662829680265,0.001151148690339865,Weak Decoupling,Europe
Hong Kong,1975,2020,68.1,0.344943,53.39999999999999,0.334894910442,0.9992514970059879,2.1854324878302336,0.457232837239496,Weak Decoupling,Asia
Hungary,1975,2020,44.7,0.157289,-28.099999999999994,0.145905860971,-0.45750569846955386,2.0500338375236145,-0.22316982778304206,Strong Decoupling,Europe
Iceland,1975,2020,1.8,0.021629953194,0.0,0.020223078113,0.0,2.019446951214854,0.0,Weak Decoupling,Europe
India,1975,2020,2237.5,2.67485,1984.1,2.576376167983,1.8904292315754372,2.8813962088169904,0.6560809741439853,Weak Decoupling,Asia
Indonesia,1975,2020,512.9,1.05905,476.0,1.028586144578,1.890314125729717,2.839518239175731,0.6657164936114114,Weak Decoupling,Asia
Iran,1975,2020,653.0,0.239735,578.6,0.18795877765000002,1.8308388444135049,0.9312474930460518,1.9660067362167564,Expansive Negative Decoupling,Unknown
Iraq,1975,2020,129.8,0.180899,116.9,0.167440483237,1.651129943502825,1.8763486084561147,0.8799697114180703,Expansive Coupling,Asia
Ireland,1975,2020,33.5,0.428609,10.3,0.419125191638,0.2951289398280803,2.939333528442148,0.10040675444698485,Weak Decoupling,Europe
Israel,1975,2020,63.0,0.413268,43.9,0.397217991213,0.9174503657262276,2.6934410162451767,0.3406238934480957,Weak Decoupling,Asia
Italy,1975,2020,286.3,1.89746,-82.39999999999998,1.6697639999999998,-0.21427085500312038,1.3478719582827132,-0.15896974017926524,Strong Decoupling,Europe
Japan,1975,2020,1031.8,5.05559,108.19999999999993,4.522729,0.09832073277115434,1.2263318082216659,0.08017465755351455,Weak Decoupling,Asia
Kazakhstan,1975,2020,202.8,0.171082,,,,,,N/A,Asia
Kuwait,1975,2020,85.1,0.107513,70.69999999999999,0.095490188379,1.379512195121951,1.693824891968382,0.8144361330756152,Expansive Coupling,Asia
Latvia,1975,2020,7.1,0.034390910339,,,,,,N/A,Europe
Lithuania,1975,2020,12.1,0.056964942999,,,,,,N/A,Europe
Luxembourg,1975,2020,9.0,0.0736993667,-3.5999999999999996,0.07057603336700001,-0.3418803418803419,2.3823966976213207,-0.14350269299050356,Strong Decoupling,Europe
Malaysia,1975,2020,247.0,0.337456,231.8,0.328157199201,1.8538067818298145,2.469446719254178,0.7506972178730388,Weak Decoupling,Asia
Mexico,1975,2020,417.8,1.12083,286.70000000000005,1.03283,0.8585374618194885,1.6579922117724941,0.5178175480701807,Weak Decoupling,Americas
Morocco,1975,2020,62.1,0.121354,51.8,0.112369146995,1.5490430622009566,2.008679480676631,0.7711748325716734,Weak Decoupling,Africa
Netherlands,1975,2020,172.8,0.909793,-12.099999999999994,0.8095429999999999,-0.06046976511744125,1.6741816437129493,-0.03611899900140659,Strong Decoupling,Unknown
New Zealand,1975,2020,33.1,0.212698,13.700000000000003,0.199836016716,0.48341566690190546,2.284196679966697,0.2116348697735405,Weak Decoupling,Oceania
North Macedonia,1975,2020,6.6,0.012361036914,,,,,,N/A,Europe
Norway,1975,2020,32.8,0.367633,5.899999999999999,0.3347551948,0.18266253869969037,1.5919216942318426,0.11474341945432899,Weak Decoupling,Europe
Oman,1975,2020,69.8,0.075909397659,66.3,0.07381269847,2.3411016949152543,2.3524093913706245,0.9951931426150353,Expansive Coupling,Asia
Pakistan,1975,2020,207.2,0.300426,186.1,0.289195393939,1.942183260279691,2.393069993315004,0.8115864833478098,Expansive Coupling,Asia
Peru,1975,2020,43.4,0.20141,23.799999999999997,,0.82153952364515,,,N/A,Americas
Philippines,1975,2020,128.2,0.361751,98.19999999999999,0.344875759316,1.5089121081745542,2.6703644760219714,0.5650584861068753,Weak Decoupling,Asia
Poland,1975,2020,283.6,0.599443,-96.5,,-0.27366570245590155,,,N/A,Europe
Portugal,1975,2020,40.7,0.229032,18.900000000000002,0.20968439215700002,0.43072014585232454,1.6660211808267105,0.2585322148417064,Weak Decoupling,Europe
Qatar,1975,2020,107.0,0.144411,102.2,0.14189822683400002,2.449664429530201,2.6999589900026195,0.9072969028791894,Expansive Coupling,Asia
Romania,1975,2020,64.4,0.251363,-72.4,,-0.6091199730775703,,,N/A,Europe
Russia,1975,2020,1459.8,1.49308,,,,,,N/A,Unknown
Saudi Arabia,1975,2020,558.0,0.734271,495.3,0.687497791357,1.6464448359538608,2.2718779055955056,0.7247065662722284,Weak Decoupling,Asia
Singapore,1975,2020,210.9,0.349488,187.4,0.34385432607,1.716274384101108,2.6825416458263294,0.6397941246397416,Weak Decoupling,Asia
Slovakia,1975,2020,27.8,0.106738,-21.2,,-0.49325267566309905,,,N/A,Europe
Slovenia,1975,2020,11.9,0.053734526854,,,,,,N/A,Europe
South Africa,1975,2020,446.5,0.338291,274.0,0.295384094328,0.7780996194695292,1.4497043412445276,0.5367298678305358,Weak Decoupling,Africa
Spain,1975,2020,223.3,1.27813,54.900000000000006,1.163353,0.21708185053380782,1.5875476324469966,0.13674036992465202,Weak Decoupling,Europe
Sri Lanka,1975,2020,24.7,0.084304298771,20.4,0.080513000625,1.8214285714285712,2.651291458372858,0.6869967334886722,Weak Decoupling,Asia
Sweden,1975,2020,42.7,0.547054,-42.7,0.46416860237900004,-0.6491334752204317,1.511320998678085,-0.4295139654568505,Strong Decoupling,Europe
Switzerland,1975,2020,32.7,0.741999,-7.199999999999996,0.6765329181809999,-0.1762114537444933,1.8534777332289807,-0.09507071522111668,Strong Decoupling,Europe
Thailand,1975,2020,273.1,0.500462,247.00000000000003,0.48557922940599996,1.5938568755242954,2.556578741555635,0.6234335166827134,Weak Decoupling,Asia
Turkey,1975,2020,377.2,0.720338,316.5,0.674295142857,1.6160326780699512,1.8502712379469126,0.8734031232432301,Expansive Coupling,Asia
Turkmenistan,1975,2020,89.7,0.045818,,,,,,N/A,Asia
USA,1975,2020,4462.7,21.323,75.89999999999964,19.6381,0.014998992162581892,1.955182172110909,0.007671403911374793,Weak Decoupling,Unknown
Ukraine,1975,2020,171.5,0.156618,,,,,,N/A,Europe
United Arab Emirates,1975,2020,248.5,0.349473,243.2,0.334752271751,1.891870867366783,2.2019414381163265,0.8591830984320834,Expansive Coupling,Asia
United Kingdom,1975,2020,320.9,2.69781,-315.1,2.456053,-0.5831189740363084,1.529935570919642,-0.3811395624234009,Strong Decoupling,Unknown
Uzbekistan,1975,2020,111.2,0.060224701297,,,,,,N/A,Asia
Venezuela,1975,2020,71.1,,8.399999999999991,,0.06971532907295205,,,N/A,Unknown
Vietnam,1975,2020,285.0,0.346616,265.2,,3.225492580880564,,,N/A,Unknown
