region,Years,CE_Start,CE_End,GDP_Start,GDP_End,pct_CE,pct_GDP,GDP_Decoupling_Elasticity,Decoupling_State
Africa,1975 - 1980,225.8,304.5,0.0790818403,0.17515611781,0.3485385296722763,1.2148715450416752,0.286893318964286,Weak Decoupling
Africa,1980 - 1985,304.5,445.4,0.17515611781,0.176442030224,0.4627257799671592,0.007341521552760664,63.028593819650155,Expansive Negative Decoupling
Africa,1985 - 1990,445.4,498.2,0.176442030224,0.261255376617,0.1185451279748541,0.4806867518205619,0.24661617472475386,Weak Decoupling
Africa,1990 - 1995,498.2,537.1,0.261255376617,0.31268982219999997,0.0780810919309515,0.19687420886423632,0.39660396545286397,Weak Decoupling
Africa,1995 - 2000,537.1,587.8,0.31268982219999997,0.34939939793200003,0.09439582945447762,0.11739933034507341,0.8040576481741311,Expansive Coupling
Africa,2000 - 2005,587.8,686.7,0.34939939793200003,0.554367323626,0.16825450833616892,0.5866293041921349,0.2868157235477306,Weak Decoupling
Africa,2005 - 2010,686.7,802.9,0.554367323626,0.914998,0.16921508664627918,0.6505265750787592,0.26012017514548474,Weak Decoupling
Africa,2010 - 2015,802.9,843.9000000000001,0.914998,0.9739850000000001,0.051064889774567336,0.06446680757772162,0.7921113468043715,Weak Decoupling
Africa,2015 - 2020,843.9000000000001,844.6,0.9739850000000001,1.008336,0.0008294821661333472,0.03526851029533288,0.023519058763395332,Weak Decoupling
Americas,1975 - 1980,843.8000000000001,1017.0,0.290871878436,0.560672953758,0.20526191040530922,0.9275598479052138,0.2212923628258267,Weak Decoupling
Americas,1980 - 1985,1017.0,1011.5,0.560672953758,0.734649224949,-0.005408062930186824,0.31029902552797717,-0.017428552735494242,Strong Decoupling
Americas,1985 - 1990,1011.5,1142.3000000000002,0.734649224949,1.5062745750470001,0.1293129016312409,1.050331673801966,0.12311625447146338,Weak Decoupling
Americas,1990 - 1995,1142.3000000000002,1292.1,1.5062745750470001,2.257169480311,0.13113893022848613,0.49851130577608654,0.2630610955238577,Weak Decoupling
Americas,1995 - 2000,1292.1,1510.8,2.257169480311,2.673985029533,0.16925934525191552,0.18466293863080668,0.9165853554963332,Expansive Coupling
Americas,2000 - 2005,1510.8,1671.5,2.673985029533,3.565287455061,0.10636748742388143,0.33332364081472143,0.31911174126111863,Weak Decoupling
Americas,2005 - 2010,1671.5,1813.2,3.565287455061,6.074456328999999,0.08477415495064317,0.7037774388646227,0.12045591442573958,Weak Decoupling
Americas,2010 - 2015,1813.2,1993.3999999999999,6.074456328999999,5.989713558,0.09938230752261186,-0.013950675815287318,-7.123834632707007,Strong Negative Decoupling
Americas,2015 - 2020,1993.3999999999999,1735.8,5.989713558,5.460026472,-0.1292264472760108,-0.08843279079556947,1.4612955908486958,Recessive Decoupling
Asia,1975 - 1980,2670.3,3234.1,1.0706050336057,2.15899112735,0.21113732539415037,1.0166084219487697,0.20768795618416616,Weak Decoupling
Asia,1980 - 1985,3234.1,4311.7,2.15899112735,2.602564441033,0.3331993444853282,0.20545397712099575,1.6217712071307373,Expansive Negative Decoupling
Asia,1985 - 1990,4311.7,5496.099999999999,2.602564441033,5.002768937195,0.2746944360692997,0.9222459426246984,0.2978537756290078,Weak Decoupling
Asia,1990 - 1995,5496.099999999999,6788.2,5.002768937195,8.123036405563,0.23509397572824375,0.6237080919666662,0.3769294943519961,Weak Decoupling
Asia,1995 - 2000,6788.2,7573.2,8.123036405563,8.431638434087999,0.1156418490910698,0.037990969523866,3.0439299270428823,Expansive Negative Decoupling
Asia,2000 - 2005,7573.2,11116.9,8.431638434087999,10.692588930180001,0.467926371943168,0.26815078869502734,1.7450121039000521,Expansive Negative Decoupling
Asia,2005 - 2010,11116.9,14089.0,10.692588930180001,18.507415728636,0.2673497108006729,0.7308638580875889,0.3657996052783785,Weak Decoupling
Asia,2010 - 2015,14089.0,16232.8,18.507415728636,23.786375232087,0.15216126055788198,0.2852348259126753,0.5334596154975346,Weak Decoupling
Asia,2015 - 2020,16232.8,17259.0,23.786375232087,29.201126587472,0.06321768271647533,0.22764087855137707,0.2777079543831031,Weak Decoupling
Europe,1975 - 1980,3472.2,3828.7,1.624126350333,3.188109091494,0.10267265710500548,0.9629686390103402,0.10662097699310745,Weak Decoupling
Europe,1980 - 1985,3828.7,4468.3,3.188109091494,2.625757183335,0.1670540914670777,-0.1763904220402547,-0.9470700820079316,Strong Negative Decoupling
Europe,1985 - 1990,4468.3,4495.7,2.625757183335,6.645060650744,0.006132086028243322,1.5307216877929444,0.004006009764639063,Weak Decoupling
Europe,1990 - 1995,4495.7,3858.3,6.645060650744,8.409008279741,-0.14177992303756914,0.2654524498282049,-0.5341066662949469,Strong Decoupling
Europe,1995 - 2000,3858.3,3762.6,8.409008279741,7.353440679385,-0.024803670010108147,-0.12552819134440335,0.19759441878721862,Weak Negative Decoupling
Europe,2000 - 2005,3762.6,3890.3999999999996,7.353440679385,12.070701567667001,0.033965874661138505,0.6415039019090212,0.052947261209263206,Weak Decoupling
Europe,2005 - 2010,3890.3999999999996,3584.4,12.070701567667001,14.925413969048,-0.07865515114127071,0.23649929421068036,-0.3325809127836231,Strong Decoupling
Europe,2010 - 2015,3584.4,3156.9,14.925413969048,14.014680112567,-0.11926682289922999,-0.06101900144074131,1.9545849667018256,Recessive Decoupling
Europe,2015 - 2020,3156.9,2681.3,14.014680112567,15.79276597147,-0.15065412271532197,0.12687309625487542,-1.1874394742654726,Strong Decoupling
Oceania,1975 - 1980,211.3,243.0,0.110165001173,0.17323054738500002,0.15002366303833406,0.5724644446103501,0.26206634219955477,Weak Decoupling
Oceania,1980 - 1985,243.0,253.5,0.17323054738500002,0.205316795396,0.043209876543209874,0.18522280565037533,0.23328594117493498,Weak Decoupling
Oceania,1985 - 1990,253.5,300.09999999999997,0.205316795396,0.356916129385,0.183826429980276,0.7383679143082585,0.24896318815870294,Weak Decoupling
Oceania,1990 - 1995,300.09999999999997,335.7,0.356916129385,0.432084703507,0.1186271242919028,0.21060570798950026,0.5632664253231776,Weak Decoupling
Oceania,1995 - 2000,335.7,386.70000000000005,0.432084703507,0.468791281957,0.15192135835567488,0.08495227475555682,1.7883141892646912,Expansive Negative Decoupling
Oceania,2000 - 2005,386.70000000000005,420.2,0.468791281957,0.810413,0.08663046289112991,0.7287288206744754,0.11887887569884917,Weak Decoupling
Oceania,2005 - 2010,420.2,436.0,0.810413,1.295408,0.037601142313184226,0.5984541215404983,0.06283045092311174,Weak Decoupling
Oceania,2010 - 2015,436.0,443.0,1.295408,1.529874,0.016055045871559634,0.18099780146486674,0.08870298833257408,Weak Decoupling
Oceania,2015 - 2020,443.0,410.1,1.529874,1.543078,-0.07426636568848753,0.008630776129276001,-8.604830501462377,Strong Decoupling
Unknown,1975 - 1980,5364.6,5735.2,2.106147873513,3.7708887872080004,0.06908250382134724,0.7904197680660738,0.08739976732916478,Weak Decoupling
Unknown,1980 - 1985,5735.2,7764.9,3.7708887872080004,5.228355154488001,0.35390221788254983,0.3865047339036274,0.9156478222354534,Expansive Coupling
Unknown,1985 - 1990,7764.9,8303.6,5.228355154488001,8.071546693001,0.069376295895633,0.5438022962293245,0.12757632024852028,Weak Decoupling
Unknown,1990 - 1995,8303.6,8003.9,8.071546693001,10.026373877974,-0.036092779035599105,0.2421874343696816,-0.1490282893063151,Strong Decoupling
Unknown,1995 - 2000,8003.9,8470.8,10.026373877974,12.851629518403,0.058334062144704414,0.28178239459387583,0.20701812201141764,Weak Decoupling
Unknown,2000 - 2005,8470.8,8802.4,12.851629518403,17.461342255738,0.03914624356613312,0.3586870233641643,0.10913760748570236,Weak Decoupling
Unknown,2005 - 2010,8802.4,8530.4,17.461342255738,20.933982,-0.03090066345542125,0.19887587640181847,-0.1553766299588194,Strong Decoupling
Unknown,2010 - 2015,8530.4,8208.6,20.933982,23.999434,-0.03772390509237542,0.1464342522125031,-0.2576166745307039,Strong Decoupling
Unknown,2015 - 2020,8208.6,7425.3,23.999434,27.010034,-0.09542431108837075,0.12544462506907456,-0.7606887185148548,Strong Decoupling
